URN,dbid,Categoria,Familia,Category,Nombre de tipo,Longitud,Área,Volumen,Perímetro,Nota Clave
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3891,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.15761654,0.080508158,0.001207622,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3892,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.069973267,0.010933323,0.000164,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3893,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299973267,0.020998129,0.000314972,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3894,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.069973267,0.010933323,0.000164,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3895,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299972198,0.020998054,0.000314971,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3896,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07011654,0.010955709,0.000164336,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3897,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.299973267,0.020998129,0.000314972,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3898,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07011654,0.010955709,0.000164336,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3899,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.207473267,0.085048129,0.001275722,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3900,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.1575,0.0805,0.0012075,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3901,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3902,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.300003288,0.02100023,0.000315003,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3903,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.070003288,0.010938014,0.00016407,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3904,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.300003288,0.02100023,0.000315003,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3905,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3906,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.300003288,0.02100023,0.000315003,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3907,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,0.07,0.0109375,0.000164063,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3908,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.212500154,0.085400011,0.001281,,
dXJuOmFkc2sud2lwcHJvZDpmcy5maWxlOnZmLlBLWER1RXZ4UUJPSmFJM0l4V05QTEE/dmVyc2lvbj0x,3909,Revit Muros,Muro básico,Revit Muros,PG_Tablón guardaescobas en gres mocca,1.1625,0.08085,0.00121275,,
